"Sheet","Variable","Explanation","ICASA_standard"
"all","Introduction:","This spreadsheet contains the full list of variables and codes used in the ICASA standards. A general description of the standards is available at www.icasa.net/standards. The assumption is that the standards will evolve through time, especially through addition of new variables and codes.",1
"all","Last revision:","2025-01-06",1
"all","Authors:","Jeff White, Tony Hunt, Gerrit Hoogenboom, Cheryl Porter",1
"all","Send comments/questions to:","jeff.white.az@gmail.com",1
"Management_info/Measured_data","Variable name","Full name of variable, which may be used as a field name in databases",1
"Management_info/Measured_data","Code_Display","Short name of variable as used in the flat file (ASCII) implementation",1
"Management_info/Measured_data","Code_query","Short name of variable that excludes non-standard characters (%, #)",1
"Management_info/Measured_data","Variable_Order","Preferred order (position) within a table or sheet",1
"Management_info/Measured_data","Variable_Key","Variant of a variable to be used as a database key",1
"Management_info/Measured_data","Description","Full description of the variable",1
"Management_info/Measured_data","Unit or type","Units of measurement or type (e.g., text or code)",1
"Management_info/Measured_data","Data type","Formal variable type as specified in software or database",1
"Management_info/Measured_data","Dataset","The highest level of aggregation in the ICASA Standard. May represent an experiment, collection of weather data or of soil profiles.",1
"Management_info/Measured_data","Subset","The middle level of aggregation. May represent metadata or major assemblages of data.",1
"Management_info/Measured_data","Group","Name of data group where the variable is found in (but see ""Sub-Group""). This corresponds roughly to tables that would be defined in a relational database.",1
"Management_info/Measured_data","Sub_group","If given, a possible sub-division of a group, which would be used to manage data in smaller blocks (e.g., as additional tables in a relational database).",1
"Management_info/Measured_data","Set_group_order","Preferred order of datasets, subsets and groups within a database or workbook",1
"Management_info/Measured_data","Version_or_questions","Comment section for recording queries, suggestions for future versions of standards",1
"Management_info/Measured_data","DSSAT_synon","Synonyms for codes that will still be recognized in DSSAT software",0
"Management_info/Measured_data","DSSAT_group","Which group a variable appears within a DSSAT file",0
"Management_info/Measured_data","DSSAT_order","The usual order of apearance within a group in a DSSAT file",0
"Management_info/Measured_data","MinVal","Suggested minimum value for data validation",1
"Management_info/Measured_data","MaxVal","Suggested maximum for data validation",1
"Management_info/Measured_data","var_uid","Unique numerical identifier for each variable.",1
"Metadata_codes","Code_display","The corresponding variable (as Code_display version)",1
"Metadata_codes","Code","The actual code value.",1
"Metadata_codes","Description","A description of the code.",1
"Metadata_codes","Usage","For arochemicals, describes how product is used (e.g., herbicide, growth regulator …)",
"Metadata_codes","Comment","Further explanation of the code or its usage",1
"Metadata_codes","ICASA_standard","Whether variable is part of ICASA standard",
"Management_codes","Group_Topic","Type of code",1
"Management_codes","Code","The actual code value.",1
"Management_codes","Description","A description of the code.",1
"Management_codes","Usage","For agrochemicals, target organisms or other use (e.g., defoliant)",1
"Management_codes","Comment","Further explanation of the code or its usage",1
"Crop_codes","Code_display","Display code for the variable",1
"Crop_codes","Crop_code","The actual three letter code value.",1
"Crop_codes","Common_name","The common name of the crop",0
"Crop_codes","Latin_name","The latin binomial (scientific name)",0
"Crop_codes","Major_use","Primary use of the crop",0
"Crop_codes","Other_uses","Alternative uses of the crop (e.g., for maize, this might be forage)",0
"Crop_codes","Crop_comments","Additional names or information on the crop",0
"Crop_codes","DSSAT_code","The equivalent two-letter code used in DSSAT4.5",0
"Crop_codes","APSIM_code","The equivalent name as used in APSIM models",0
"Crop_codes","AgTrials_code","The equivalent name as used in AgTrials",0
"Crop_codes","Photosynthetic pathway","Whether the crop uses the C3, C4 or CAM mechanism",0
"Crop_codes","Repro_type","Whether the crop is typically grown as an annual, biennial or perennial.",0
"Crop_codes","Daylength","Whether the primary response to photoperiod is short-day, long-day, etc.",0
"Crop_codes","Vernalization","Whether the crop has a vernalization requirement, although some genotypes may lack this response.",0
"Crop_codes","Harvested_parts","Which parts of the crop typically are harvested",0
"Crop_codes","When_harvested","What criteria are used to determine the harvest date. Typically a growth stage.",0
"Crop_codes","N_fixation","Whether the crop is capable of biological nitrogen fixation?",0
"Crop_codes","Major_planting","What part of the crop is usually planted (e.g., seed, eye-pieces of a tuber, stem cuttings)",0
"Crop_codes","Other_planting","What other parts of the crop may be used for planting",0
"Crop_codes","Wikipedia","Hyperlink to the corresponding Wikipedia page.",0
"Crop_codes","DSSAT_tree_node","Location of the crop within the DSSAT ""tree"" such as ""Cereals"" …",0
"Pest_codes","Code_display","Display code for the variable",1
"Pest_codes","Pest_code","The actual code value.",1
"Pest_codes","Latin_name","Latin binomial for the species",1
"Pest_codes","Common_name","Common name of the pest",1
"Pest_codes","Pest_type","Whether pest is bacterial, fungl, nematode, bird, etc.",1
"Pest_codes","Host_species","Target species ",1
"Pest_codes","Pest_notes","Further explanation of the code or the nature of the pest",1
"Pest_codes","ICASA_standard","Whether variable is part of ICASA standard",1
"Other_codes","Variable","Variable where code is used",1
"Other_codes","Code_display","Display code for the variable",1
"Other_codes","Code","The actual code value.",1
"Other_codes","Description","A description of the code.",1
"Other_codes","Comment","Comments such as where future development is needed.",0
"Other_codes","DSSAT code","Equivalent code used in DSSAT",0
