"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal","var_uid"
"experiment_id","EXPER_ID","EXPER_ID",1,1,"Experiment database key, links to ED table","text","text","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,,100
"treatment_number","TRTNO","TRTNO",2,1,"Treatment number, which is unqique within an experiment","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"TN","TREATMENTS",2101,,,101
"treatment_name","TRT_NAME","TRT_NAME",3,,"Name assigned to a single treatment","text","text","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"TNAME, TNAM","TREATMENT",2105,,,102
"replicate_number","RP","RP",4,,"Replicate number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,".",,,,,103
"sequence_number","SQ","SQ",5,,"Sequence number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"R","TREATMENT",2102,,,104
"option_for_crop_in_seq","OP","OP",6,,"Option for crop in sequence (e.g., crop failed)","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"O","TREATMENT",2103,,,105
"crop_component_number","CO","CO",7,,"Crop component number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"C","TREATMENT",2104,,,106
"plot_id","PLOT_ID","PLOT_ID",8,,"Unique identifier for individual plots","text","text","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,,107
"plot_row_number","PLOT_X","PLOT_X",9,,"Plot row number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,"2025-07-01, JWW",,,,,,108
"plot_column_number","PLOT_Y","PLOT_Y",10,,"Plot column number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,"2025-07-01, JWW",,,,,,109
"plot_row_m","PLOT_X_M","PLOT_X_M",11,,"Plot row position in the field","m","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,"2025-07-01, JWW",,,,,,110
"plot_column_m","PLOT_Y_M","PLOT_Y_M",12,,"Plot column position in the field","m","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,"2025-07-01, JWW",,,,,,111
"plot_geocoord_x","PLOT_GEO_X","PLOT_GEO_X",13,,"""x"" geocoordinate of an individual plot (e.g. longitude in decimal degrees)","number","double","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,"2025-07-01, JWW",,,,,,112
"plot_geocoord_y","PLOT_GEO_Y","PLOT_GEO_Y",14,,"""y"" geocoordinate of an individual plot (e.g. latitude in decimal degrees)","number","double","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,"2025-07-01, JWW",,,,,,113
"plot_geocoord_system","PLOT_GEO_SYS","PLOT_GEO_SYS",15,,"System used for geospatial plot coordinates (e.g., unprojected, simple distance)","text","text","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,"2025-07-01, JWW",,,,,,114
"genotype_level","GE","GE",16,,"Level indicator (index) to link to GENOTYPE subset","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"CU","TREATMENT",2111,,,115
"field_level","FL","FL",17,,"Field level identifier","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"FL","TREATMENT",2112,,,116
