"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal","var_uid"
"observ_treat_id","OBS_TRT_ID","OBS_TRT_ID",1,,"Identifier for unique combinations of treatments and replicates within an experiment","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,,,,,,730
"treatment_number","TRTNO","TRTNO",2,,"Treatment number","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"TN","OBS DATA LINK",6902,,,731
"replicate_number","RP","RP",3,,"Replicate or main block number","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,".",,,,,732
"sub_block_number","SBLK","SBLK",3.5,,"Any blocking within replicates as in a lattice design","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,"2025-05-15, Jeff White",,,,,,733
"sequence_number","SQ","SQ",4,,"Sequence number","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"R","OBS DATA LINK",6903,,,734
"option_for_crop_in_seq","OP","OP",5,,"Option for crop in sequence","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"O","OBS DATA LINK",6904,,,735
"crop_component_number","CO","CO",6,,"Crop component number","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"C","OBS DATA LINK",6905,,,736
"observation_note","OBS_NOTE","OBS_NOTE",99,,"Additional details describing a single row of observations","text","text","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"C","OBS DATA LINK",,,,737
"maturity_day_of_year","MDOY","MDOY",3,,"Growth stage of physiol. maturity, as day of year","doy","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,366,738
"anthesis_date","ADAT","ADAT",11,,"Growth stage date, anthesis","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"ADAT","SUMMARY",7003,1,99365,739
"anthesis_day_of_year","ADOY","ADOY",12,,"Anthesis date as day of year","doy","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,366,740
"anthesis_dap","ADAP","ADAP",13,,"Growth stage as days after planting, anthesis","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,".",,,10,700,741
"physiologic_maturity_dap","MDAP","MDAP",39,,"Growth stage of physiol. maturity, as days after planting","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,".",,,10,,742
"physiologic_maturity_dat","MDAT","MDAT",39,,"Growth stage of physiol. maturity, as date","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"MDAT","SUMMARY",7006,1,99365,743
"harvest_dap","HDAP","HDAP",40,,"Growth stage as days after planting","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,".",,,10,800,744
"harvest_date","HDATE","HDATE",40,,"Growth stage date, harvest","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"HDAT","SUMMARY",7008,1,99365,745
"emergence_date","PLDAE","PLDAE",41,,"Growth stage date, emergence","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"EDAT","SUMMARY",7004,1,366,746
"growth_stage_harvest","GSTH","GSTH",,,"Growth stage when harvest occurs","code","text","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"HSTG","SUMMARY",7009,,,747
"panicle_initiation_dap","IDAP","IDAP",,,"Growth stage of panicle initiation, as days after planting ","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,10,,748
"first_pod_set_days","PD1P","PD1P",,,"Growth stage of first pod, as days after planting","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,10,,749
"full_pod_days","PDFP","PDFP",,,"Growth stage of full-sized pod, as days after planting","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,10,,750
"harvest_maturity_dap","R8AP","R8AP",,,"Growth stage days as days after planting, harv mature","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,10,,751
"harvest_mat_dap_stdev","R8APS","R8APS",,,"Standard deviation of harvest maturity DAP","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,,,752
"tuber_initiation_dap","TDAP","TDAP",,,"Growth stage days>planting, tuber init","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,10,,753
"growth_stage_apex_1_cm","AP1D","AP1D",,,"Growth stage date, apex 1cm","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,754
"growth_stage_branch_1","BR1D","BR1D",,,"Growth stage date for branch 1","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,755
"growth_stage_branch_2","BR2D","BR2D",,,"Growth stage date, branch 2","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,756
"growth_stage_branch_3","BR3D","BR3D",,,"Growth stage date, branch 3","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,757
"growth_stage_branch_4","BR4D","BR4D",,,"Growth stage date, branch 4","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,758
"silking_date","SKDAT","SKDAT",,,"Growth stage, silking date","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,,,759
"double_ridge_date","DRID","DRID",,,"Growth stage date, double ridges","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,760
"ear_emergence_date","EEMD","EEMD",,,"Growth stage date, ear emergence","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,761
"forcing_date","FDAT","FDAT",,,"Forcing date","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,762
"panicle_initiation_date","IDAT","IDAT",,,"Growth stage of panicle initiation, as date","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,763
"jointing_date","JDAT","JDAT",,,"Growth stage of jointing (node detectable through sheath) in cereals","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,,,764
"leaf_3_full_expansion","LF3D","LF3D",,,"Growth stage date, leaf3 full expansion","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,765
"leaf_5_full_expansion","LF5D","LF5D",,,"Growth stage date, leaf5 full expansion","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,766
"last_leaf_stage","LLFD","LLFD",,,"Growth stage date, last leaf","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,767
