"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal","var_uid"
"weather_file","WST_DATASET","WST_DATASET",1,,"Weather dataset containing relevant data","text","text","WEATHER","WEATHER_METADATA","GENERAL",,5001,,,,,,,614
"weather_notes","WST_NOTES","WST_NOTES",2,,"General notes on the weather dataset","text","memo","WEATHER","WEATHER_METADATA","GENERAL",,5001,,".",,,,,615
"distrib_restrictions_wst","WST_DISTRIB","WST_DISTRIB",3,,"Distribution limitations for the weather data set","text","memo","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-02-14, 2013-04-18, CHP",".",,,,,616
"file_version_wst","VERSION_WST","VERSION_WST",4,,"File version for ICASA standard","text","text","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-04-18, CHP",".",,,,,617
"revision_date_first_wst","REV_DATE_FIRST_WST","REV_DATE_FIRST_WST",5,,"Date the file was first created","date","date","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-04-18, CHP",".",,,,,618
"revision_date_latest_wst","REV_DATE_LATEST_WST","REV_DATE_LATEST_WST",6,,"Date the file was last modified","date","date","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-04-18, CHP",".",,,,,619
"revision_notes_wst","REVISION_NOTES_WST","REVISION_NOTES_WST",7,,"Notes describing reasons for the revision","text","memo","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-04-18, CHP",".",,,,,620
"weather_citation","WST_CITATION","WST_CITATION",1,,"Full citation for weather data","text","text","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2014-03-17, chp",,,,,,621
"weather_license","WST_LICENSE","WST_LICENSE",1,,"License associated with weather data","text","text","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2014-03-17, chp",,,,,,622
"weather_sta_reference","WST_REF","WST_REF",12,,"URL, DOI or other link to description of weather station","text","text","WEATHER","WEATHER_METADATA","GENERAL",,,,,,,,,623
"researcher_last_name","LAST_NAME","LAST_NAME",2,,"Last name of researchers involved with the experiment(s) or data","text","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,".",,,,,624
"researcher_first_name","FIRST_NAME","FIRST_NAME",3,,"First name of researchers involved with the experiment(s) or data","text","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,,625
"researcher_name_mi","MID_INITIAL","MID_INITIAL",4,,"Middle initial of researchers involved with the experiment(s) or data","text","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,,626
"researcher_role","PP_ROLE","PP_ROLE",5,,"Role of researcher in experiment or dataset preparation","code","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,,627
"researcher_address","WST_ADDRESS","WST_ADDRESS",4,,"Mailing address of researcher","text","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,"2014-03-14, chp",,,,,,628
"institute_id_person","IN","INP",6,,"Links to institutions for researcher providing weather data","integer","single","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,,629
"e_mail_address","WST_EMAIL","WST_EMAIL",7,,"E-mail address of researcher","text","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,,630
